config,bench,generated,satisfied,units,pr-units,pr-binaries,pr-time,solve-time,total-time,solve-result,default-kissat-time,default-kissat-result,cake-verified
default_cake.sh,Ptn-7824-b04,493569,55,0,0,55,19.23,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,Ptn-7824-b05,498945,65,0,0,65,19.52,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,Ptn-7824-b06,501714,68,0,0,68,19.68,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,Ptn-7824-b07,509680,86,0,0,86,20.28,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,Ptn-7824-b08,390791,121,0,0,121,15.53,5000,5000,UNKNOWN,1290.49,SAT-VERIFIED,NA
default_cake.sh,Ptn-7824-b09,394165,133,0,0,133,15.72,5000,5000,UNKNOWN,549.271,SAT-VERIFIED,NA
default_cake.sh,Ptn-7824-b10,534246,192,3,4,188,21.69,4783.08,4804.77,SAT-VERIFIED,4201.85,SAT-VERIFIED,NA
default_cake.sh,Ptn-7824-b11,541094,221,3,4,217,22.1,330.35,352.45,SAT-VERIFIED,852.182,SAT-VERIFIED,NA
default_cake.sh,Ptn-7824-b12,548942,235,3,4,231,22.58,1029.68,1052.26,SAT-VERIFIED,140.726,SAT-VERIFIED,NA
default_cake.sh,Ptn-7824-b13,553376,249,5,4,245,22.93,5000,5000,UNKNOWN,22.9945,SAT-VERIFIED,NA
default_cake.sh,Ptn-7824-b14,558512,258,5,4,254,23.3,1379.89,1403.19,SAT-VERIFIED,627.626,SAT-VERIFIED,NA
default_cake.sh,Ptn-7824-b15,874015,304,6,5,299,37.06,1352.47,1389.53,SAT-VERIFIED,2410.41,SAT-VERIFIED,NA
default_cake.sh,Ptn-7824-b16,880509,362,9,6,356,37.39,723.17,760.56,SAT-VERIFIED,203.502,SAT-VERIFIED,NA
default_cake.sh,Ptn-7824-b17,887289,369,9,6,363,38.28,103.89,142.17,SAT-VERIFIED,120.826,SAT-VERIFIED,NA
default_cake.sh,Ptn-7824-b18,901991,400,9,6,394,39.2,2010.94,2050.14,SAT-VERIFIED,524.462,SAT-VERIFIED,NA
default_cake.sh,Ptn-7824-b19,779667,441,10,9,432,34.06,310.31,344.37,SAT-VERIFIED,131.636,SAT-VERIFIED,NA
default_cake.sh,Ptn-7824-b20,789347,449,12,9,440,34.58,111.87,146.45,SAT-VERIFIED,22.1348,SAT-VERIFIED,NA
default_cake.sh,Ptn-7824-b21,820721,502,12,11,491,36.61,97.46,134.07,SAT-VERIFIED,88.2949,SAT-VERIFIED,NA
default_cake.sh,rphp4_080_shuffled,582717,29256,1,7,29249,99.77,375,474.77,UNSAT,749.47,UNSAT,TRUE
default_cake.sh,rphp4_085_shuffled,526308,29835,0,8,29827,99.75,782.71,882.46,UNSAT,912.692,UNSAT,TRUE
default_cake.sh,rphp4_090_shuffled,443519,30495,1,7,30488,99.65,1708.11,1807.76,UNSAT,1197.38,UNSAT,TRUE
default_cake.sh,rphp4_095_shuffled,522523,30770,8,0,30770,99.77,1254.11,1353.88,UNSAT,1654.42,UNSAT,TRUE
default_cake.sh,rphp4_100_shuffled,541343,32173,11,0,32173,99.41,734.98,834.39,UNSAT,2222.76,UNSAT,TRUE
default_cake.sh,rphp4_105_shuffled,547581,30074,8,0,30074,99.73,1200.36,1300.09,UNSAT,2743.68,UNSAT,TRUE
default_cake.sh,rphp4_110_shuffled,361189,30975,0,8,30967,99.66,5000,5000,UNKNOWN,3650.21,UNSAT,NA
default_cake.sh,rphp4_115_shuffled,347752,30432,2,6,30426,99.29,5000,5000,UNKNOWN,4273.88,UNSAT,NA
default_cake.sh,rphp4_120_shuffled,211476,30806,1,3,30803,99.84,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,rphp4_125_shuffled,511122,21536,3,4,21532,99.82,4240.57,4340.39,UNSAT,5000,UNKNOWN,Unknown
default_cake.sh,rphp4_130_shuffled,210743,32791,0,4,32787,99.69,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,rphp4_135_shuffled,168163,32188,0,3,32185,99.47,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,rphp4_140_shuffled,331998,26988,0,9,26979,99.69,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,rphp4_145_shuffled,151960,33125,0,2,33123,99.54,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,rphp4_150_shuffled,498711,795,0,0,795,99.93,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,rphp4_155_shuffled,441503,10801,2,0,10801,99.75,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,rphp4_160_shuffled,393591,7823,1,0,7823,99.34,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,rphp5_070_shuffled,458643,31963,5,5,31958,99.54,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,rphp5_075_shuffled,541276,29880,9,1,29879,99.79,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,rphp5_080_shuffled,572342,32508,12,0,32508,99.66,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,rphp5_085_shuffled,770091,23329,5,12,23317,99.74,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,rphp5_090_shuffled,549526,30588,1,10,30578,99.7,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,rphp5_095_shuffled,406002,32672,0,11,32661,99.8,5000,5000,UNKNOWN,5000,UNKNOWN,NA
